site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,tz_cd,flow,flow_unit,flow_dt,stage,stage_unit,stage_dt,class,percentile,percent_median,percent_mean,url
01017960,"Meduxnekeag R above S Br Medux. R nr Houlton, ME",46.105,-67.8814,01010005,EST,448,cfs,"2019-04-09 08:45:00",4.37,ft,"2019-04-09 08:45:00",0,67.44,146.17,87.45,https://waterdata.usgs.gov/me/nwis/uv?site_no=01017960
01018009,"Pearce Brook at Route 1 at Houlton, Maine",46.1153,-67.8403,01010005,EST,Ice,cfs,"2019-04-07 18:30:00",2.63,ft,"2019-04-07 18:30:00",0,62.49,157.14,94.68,https://waterdata.usgs.gov/me/nwis/uv?site_no=01018009
01018035,"Meduxnekeag River at Lowery Rd. nr Houlton, Maine",46.1811,-67.8039,01010005,EST,1300,cfs,"2019-04-09 08:45:00",4.6,ft,"2019-04-09 08:45:00",0,71.03,149.17,91.28,https://waterdata.usgs.gov/me/nwis/uv?site_no=01018035
01018500,"St. Croix River at Vanceboro, Maine",45.5683,-67.4283,01050001,EST,402,cfs,"2019-04-09 08:15:00",4.32,ft,"2019-04-09 08:15:00",5,65.57,140.07,65.14,https://waterdata.usgs.gov/me/nwis/uv?site_no=01018500
01018900,"West Grand Lake at Grand Lake Stream, Maine",45.1811,-67.7781,01050001,EST,0,,"0000-00-00 00:00:00",299.65,ft,"2019-04-09 08:00:00",0,0,,,https://waterdata.usgs.gov/me/nwis/uv?site_no=01018900
01019000,"Grand Lake Stream at Grand Lake Stream, Maine",45.1725,-67.7689,01050001,EST,319,cfs,"2019-04-09 08:00:00",2.4,ft,"2019-04-09 08:00:00",5,64.39,146.33,88.84,https://waterdata.usgs.gov/me/nwis/uv?site_no=01019000
01019300,"Lewy Lake at Princeton, Maine",45.2257,-67.577,01050001,EST,0,,"0000-00-00 00:00:00",202.21,ft,"2019-04-09 08:45:00",0,0,,,https://waterdata.usgs.gov/me/nwis/uv?site_no=01019300
01021000,"St. Croix River at Baring, Maine",45.1369,-67.3181,01050001,EST,5190,cfs,"2019-04-09 08:15:00",7.85,ft,"2019-04-09 08:15:00",5,60.99,132.06,103.21,https://waterdata.usgs.gov/me/nwis/uv?site_no=01021000
01021060,"St. Croix River at Calais, Maine",45.1917,-67.2834,01050001,EST,0,,"0000-00-00 00:00:00",-8.83,ft,"2019-04-09 08:00:00",0,0,,,https://waterdata.usgs.gov/me/nwis/uv?site_no=01021060
01021470,"Libby Brook near Northfield, Maine",44.8008,-67.725,01050002,EST,23.3,cfs,"2019-04-09 08:30:00",2.11,ft,"2019-04-09 08:30:00",0,53.87,129.44,80.59,https://waterdata.usgs.gov/me/nwis/uv?site_no=01021470
01021480,"Old Stream near Wesley, Maine",44.9369,-67.7361,01050002,EST,137,cfs,"2019-04-09 08:30:00",4.9,ft,"2019-04-09 08:30:00",0,62.29,125.69,90.19,https://waterdata.usgs.gov/me/nwis/uv?site_no=01021480
01022500,"Narraguagus River at Cherryfield, Maine",44.6081,-67.9353,01050002,EST,1190,cfs,"2019-04-09 08:00:00",10.4,ft,"2019-04-09 08:00:00",5,61.02,111.74,98.99,https://waterdata.usgs.gov/me/nwis/uv?site_no=01022500
01022840,"Otter Creek near Bar Harbor, Maine",44.3328,-68.2067,01050002,EST,5.28,cfs,"2019-04-09 08:25:00",2.12,ft,"2019-04-09 08:25:00",0,52.76,104.14,73.44,https://waterdata.usgs.gov/me/nwis/uv?site_no=01022840
01027200,"North Branch Penobscot River nr Pittston Farm, ME",45.9353,-69.9936,01020001,EST,Ice,cfs,"2019-04-09 08:45:00",5.37,ft,"2019-04-09 08:45:00",0,51.17,108.08,69.21,https://waterdata.usgs.gov/me/nwis/uv?site_no=01027200
01027240,"S. Br. Penobscot River nr Canada Falls Lake, Maine",45.8739,-69.995,01020001,EST,528,cfs,"2019-04-09 08:30:00",4.27,ft,"2019-04-09 08:30:00",0,0,,,https://waterdata.usgs.gov/me/nwis/uv?site_no=01027240
01029200,"Seboeis River near Shin Pond, Maine",46.1431,-68.6336,01020002,EST,Eqp,cfs,"2019-04-09 08:00:00",Eqp,ft,"2019-04-09 08:00:00",0,73.47,245.68,155.45,https://waterdata.usgs.gov/me/nwis/uv?site_no=01029200
01029500,"East Branch Penobscot River at Grindstone, Maine",45.7303,-68.5894,01020002,EST,Ice,cfs,"2019-04-09 08:30:00",7,ft,"2019-04-09 08:30:00",0,62.79,124.39,101.27,https://waterdata.usgs.gov/me/nwis/uv?site_no=01029500
01030350,"Wytopitlock Stream near Wytopitlock Maine",45.7086,-68.1581,01020003,EST,Ice,cfs,"2019-04-09 08:15:00",4.04,ft,"2019-04-09 08:15:00",0,70.1,152.35,88.28,https://waterdata.usgs.gov/me/nwis/uv?site_no=01030350
01030500,"Mattawamkeag River near Mattawamkeag, Maine",45.5011,-68.3058,01020003,EST,9040,cfs,"2019-04-09 08:15:00",10.66,ft,"2019-04-09 08:15:00",5,69.53,149.92,122.9,https://waterdata.usgs.gov/me/nwis/uv?site_no=01030500
01031300,"Piscataquis River at Blanchard, Maine",45.2672,-69.5839,01020004,EST,Ice,cfs,"2019-04-09 08:30:00",5.5,ft,"2019-04-09 08:30:00",0,35.34,78.83,51.19,https://waterdata.usgs.gov/me/nwis/uv?site_no=01031300
01031450,"Kingsbury Stream at Abbot Village, Maine",45.1844,-69.4522,01020004,EST,Ice,cfs,"2019-04-09 08:30:00",8.56,ft,"2019-04-09 08:30:00",0,47.53,95.65,76.18,https://waterdata.usgs.gov/me/nwis/uv?site_no=01031450
01031500,"Piscataquis River near Dover-Foxcroft, Maine",45.175,-69.3147,01020004,EST,1720,cfs,"2019-04-09 08:30:00",4.6,ft,"2019-04-09 08:30:00",5,62.02,127.41,100.2,https://waterdata.usgs.gov/me/nwis/uv?site_no=01031500
01031510,"Black Stream near Dover-Foxcroft, Maine",45.1503,-69.2364,01020004,EST,188,cfs,"2019-04-09 08:30:00",4.96,ft,"2019-04-09 08:30:00",0,70.79,175.7,116.89,https://waterdata.usgs.gov/me/nwis/uv?site_no=01031510
01034000,"Piscataquis River at Medford, Maine",45.2606,-68.8686,01020004,EST,5990,cfs,"2019-04-09 08:15:00",5.55,ft,"2019-04-09 08:15:00",5,64.5,124.79,100.61,https://waterdata.usgs.gov/me/nwis/uv?site_no=01034000
01034500,"Penobscot River at West Enfield, Maine",45.2361,-68.6514,01020005,EST,30700,cfs,"2019-04-09 08:30:00",9.26,ft,"2019-04-09 08:30:00",5,74.58,140.83,119.07,https://waterdata.usgs.gov/me/nwis/uv?site_no=01034500
01036390,"Penobscot River at Eddington, Maine",44.8267,-68.6967,01020005,EST,3.7,cfs,"2002-09-30 23:45:00",8.89,ft,"2019-04-09 08:30:00",0,5.26,0.01,0.01,https://waterdata.usgs.gov/me/nwis/uv?site_no=01036390
01037000,"Kenduskeag Stream near Bangor, Maine",44.8611,-68.8317,01020005,EST,1410,cfs,"2019-04-09 08:15:00",6.88,ft,"2019-04-09 08:15:00",0,75.78,195.29,134.95,https://waterdata.usgs.gov/me/nwis/uv?site_no=01037000
01037050,"Penobscot River at Bangor, Maine",44.7964,-68.7678,01020005,EST,0,,"0000-00-00 00:00:00",-3.21,ft,"2019-04-09 08:06:00",0,0,,,https://waterdata.usgs.gov/me/nwis/uv?site_no=01037050
01037380,"Ducktrap River near Lincolnville, Maine",44.3292,-69.0608,01050002,EST,79.6,cfs,"2019-04-09 08:15:00",3.03,ft,"2019-04-09 08:15:00",0,67.16,134.35,97.67,https://waterdata.usgs.gov/me/nwis/uv?site_no=01037380
01038000,"Sheepscot River at North Whitefield, Maine",44.2228,-69.5939,01050003,EST,703,cfs,"2019-04-09 07:45:00",4.19,ft,"2019-04-09 07:45:00",5,58.81,108.99,92.31,https://waterdata.usgs.gov/me/nwis/uv?site_no=01038000
01042500,"Kennebec River at The Forks, Maine",45.3397,-69.9619,01030002,EST,1060,cfs,"2019-04-09 08:15:00",2.58,ft,"2019-04-09 08:15:00",5,26.75,63.28,45.05,https://waterdata.usgs.gov/me/nwis/uv?site_no=01042500
01043500,"Dead River near Dead River, Maine",45.229,-70.2011,01030002,EST,400,cfs,"2019-04-09 08:30:00",3.94,ft,"2019-04-09 08:30:00",5,51.86,108.84,54.36,https://waterdata.usgs.gov/me/nwis/uv?site_no=01043500
01044550,"Spencer Stream near Grand Falls, Maine",45.3136,-70.2417,01030002,EST,Ice,cfs,"2019-04-09 08:00:00",3.69,ft,"2019-04-09 08:00:00",0,47.97,89.11,59.21,https://waterdata.usgs.gov/me/nwis/uv?site_no=01044550
01046000,"Austin Stream at Bingham, Maine",45.0644,-69.8806,01030003,EST,415,cfs,"2019-04-09 08:30:00",5.88,ft,"2019-04-09 08:30:00",5,61.49,132.59,100,https://waterdata.usgs.gov/me/nwis/uv?site_no=01046000
01046500,"Kennebec River at Bingham, Maine",45.0519,-69.8856,01030003,EST,4770,cfs,"2019-04-09 08:15:00",8.16,ft,"2019-04-09 08:15:00",5,56.59,108.66,87.64,https://waterdata.usgs.gov/me/nwis/uv?site_no=01046500
01047000,"Carrabassett River near North Anson, Maine",44.8692,-69.955,01030003,EST,Ice,cfs,"2019-04-09 08:00:00",6.6,ft,"2019-04-09 08:00:00",0,80.78,193.04,149.8,https://waterdata.usgs.gov/me/nwis/uv?site_no=01047000
01047150,"Kennebec River near Madison, Maine",44.7789,-69.8869,01030003,EST,7650,cfs,"2019-04-09 08:45:00",5.46,ft,"2019-04-09 08:45:00",0,45.63,93.29,71.98,https://waterdata.usgs.gov/me/nwis/uv?site_no=01047150
01047200,"Sandy River near Madrid, Maine",44.8578,-70.4853,01030003,EST,Ice,cfs,"2019-04-09 08:00:00",4.68,ft,"2019-04-09 08:00:00",0,29.63,51.98,39.04,https://waterdata.usgs.gov/me/nwis/uv?site_no=01047200
01048000,"Sandy River near Mercer, Maine",44.7081,-69.9375,01030003,EST,Ice,cfs,"2019-04-09 08:00:00",5.81,ft,"2019-04-09 08:00:00",0,55.55,105.58,93.69,https://waterdata.usgs.gov/me/nwis/uv?site_no=01048000
01048220,"East Branch Wesserunsett Stream near Athens, Maine",44.9475,-69.6569,01030003,EST,Ice,cfs,"2019-04-09 08:00:00",3.88,ft,"2019-04-09 08:00:00",0,45.33,83.85,87.76,https://waterdata.usgs.gov/me/nwis/uv?site_no=01048220
01049265,"Kennebec River at North Sidney, Maine",44.4722,-69.6839,01030003,EST,20800,cfs,"2019-04-09 08:15:00",10.31,ft,"2019-04-09 08:15:00",5,65.07,121.99,102.28,https://waterdata.usgs.gov/me/nwis/uv?site_no=01049265
01049320,"Kennebec River at Calumet Bridge at Augusta, Maine",44.3186,-69.7717,01030003,EST,0,,"0000-00-00 00:00:00",5.96,ft,"2019-04-09 08:12:00",0,0,,,https://waterdata.usgs.gov/me/nwis/uv?site_no=01049320
01049330,"Kennebec River at Hallowell, Maine",44.2868,-69.7882,01030003,EST,0,,"0000-00-00 00:00:00",4.63,ft,"2019-04-09 08:48:00",0,0,,,https://waterdata.usgs.gov/me/nwis/uv?site_no=01049330
01049500,"Cobbosseecontee Stream at Gardiner, Maine",44.2292,-69.7781,01030003,EST,1070,cfs,"2019-04-09 07:45:00",5.78,ft,"2019-04-09 07:45:00",5,57.5,119.29,105.04,https://waterdata.usgs.gov/me/nwis/uv?site_no=01049500
01049505,"Kennebec River at Gardiner, Maine",44.2303,-69.7694,01030003,EST,0,,"0000-00-00 00:00:00",4.99,ft,"2019-04-09 08:00:00",0,0,,,https://waterdata.usgs.gov/me/nwis/uv?site_no=01049505
01052500,"Diamond River near Wentworth Location, NH",44.8775,-71.0575,01040001,EST,Ice,cfs,"2019-04-09 08:15:00",4.68,ft,"2019-04-09 08:15:00",0,80.32,236.04,155.29,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01052500
01053500,"Androscoggin River at Errol, NH",44.7825,-71.1286,01040001,EST,2170,cfs,"2019-04-09 08:15:00",2.82,ft,"2019-04-09 08:15:00",6,75.75,137.34,114.13,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01053500
01053600,"Androscoggin River below Bog Brook at Cambridge NH",44.6661,-71.1814,01040001,EST,2750,cfs,"2019-04-09 08:30:00",2.49,ft,"2019-04-09 08:30:00",0,64.57,116.03,98.25,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01053600
01054000,"Androscoggin River near Gorham, NH",44.4358,-71.1903,01040001,EST,3840,cfs,"2019-04-09 08:15:00",4.81,ft,"2019-04-09 08:15:00",6,77.54,140.66,116.9,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01054000
01054114,"Peabody River at Gorham, New Hampshire",44.3813,-71.1707,01040001,EST,Ice,cfs,"2019-04-09 08:15:00",3.53,ft,"2019-04-09 08:15:00",0,39.1,83.57,92.92,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01054114
01054200,"Wild River at Gilead, Maine",44.3906,-70.9797,01040002,EST,Ice,cfs,"2019-04-09 08:55:00",3.25,ft,"2019-04-09 08:55:00",0,52.19,104.24,63.94,https://waterdata.usgs.gov/me/nwis/uv?site_no=01054200
01054300,"Ellis River at South Andover, Maine",44.5933,-70.7331,01040002,EST,Ice,cfs,"2019-04-09 08:30:00",8.25,ft,"2019-04-09 08:30:00",0,64.41,129.23,108.17,https://waterdata.usgs.gov/me/nwis/uv?site_no=01054300
01054500,"Androscoggin River at Rumford, Maine",44.5519,-70.5442,01040002,EST,7410,cfs,"2019-04-09 08:15:00",6.09,ft,"2019-04-09 08:15:00",5,67.68,128.31,109.11,https://waterdata.usgs.gov/me/nwis/uv?site_no=01054500
01055000,"Swift River near Roxbury, Maine",44.6428,-70.5889,01040002,EST,Ice,cfs,"2019-04-09 08:30:00",2.46,ft,"2019-04-09 08:30:00",0,43.13,84.72,58.72,https://waterdata.usgs.gov/me/nwis/uv?site_no=01055000
01055500,"Nezinscot River at Turner Center, Maine",44.2694,-70.2297,01040002,EST,1250,cfs,"2019-04-09 07:45:00",3.91,ft,"2019-04-09 07:45:00",6,75.45,156.25,130.18,https://waterdata.usgs.gov/me/nwis/uv?site_no=01055500
01057000,"Little Androscoggin River near South Paris, Maine",44.3039,-70.5397,01040002,EST,495,cfs,"2019-04-09 08:15:00",4.72,ft,"2019-04-09 08:15:00",5,67.23,130.61,116.71,https://waterdata.usgs.gov/me/nwis/uv?site_no=01057000
01059000,"Androscoggin River near Auburn, Maine",44.0722,-70.2081,01040002,EST,13900,cfs,"2019-04-09 08:15:00",6.92,ft,"2019-04-09 08:15:00",5,61.76,113.93,101.44,https://waterdata.usgs.gov/me/nwis/uv?site_no=01059000
01063310,"Stony Brook at East Sebago, Maine",43.8556,-70.6397,01060001,EST,5.26,cfs,"2019-04-09 08:45:00",4.44,ft,"2019-04-09 08:45:00",0,57.71,127.98,93.93,https://waterdata.usgs.gov/me/nwis/uv?site_no=01063310
01063995,"Sebago Lake near North Windham, Maine",43.7778,-70.5061,01060001,EST,0,,"0000-00-00 00:00:00",264.01,ft,"2019-04-09 08:15:00",0,0,,,https://waterdata.usgs.gov/me/nwis/uv?site_no=01063995
01064118,"Presumpscot River at Westbrook, Maine",43.6869,-70.3472,01060001,EST,1280,cfs,"2019-04-09 08:15:00",5.86,ft,"2019-04-09 08:15:00",0,51.83,103.23,97.21,https://waterdata.usgs.gov/me/nwis/uv?site_no=01064118
01064500,"Saco River near Conway, NH",43.9908,-71.0906,01060002,EST,1820,cfs,"2019-04-09 08:45:00",4.55,ft,"2019-04-09 08:45:00",5,58.15,113.75,89.01,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01064500
01064801,"BEARCAMP RIVER AT SOUTH TAMWORTH, NH",43.8301,-71.2878,01060002,EST,508,cfs,"2019-04-09 08:30:00",5.38,ft,"2019-04-09 08:30:00",0,73.13,153.94,132.09,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01064801
01066000,"Saco River at Cornish, Maine",43.8081,-70.7817,01060002,EST,6350,cfs,"2019-04-09 08:45:00",6.52,ft,"2019-04-09 08:45:00",5,49.61,99.37,91.83,https://waterdata.usgs.gov/me/nwis/uv?site_no=01066000
01067950,"Kennebunk River near Kennebunk, Maine",43.4322,-70.5533,01060003,EST,139,cfs,"2019-04-09 07:45:00",5.32,ft,"2019-04-09 07:45:00",0,67.33,145.4,102.53,https://waterdata.usgs.gov/me/nwis/uv?site_no=01067950
01068910,"Mousam River at Route 4 near Sanford, Maine",43.4183,-70.7381,01060003,EST,317,cfs,"2019-04-09 07:45:00",3.57,ft,"2019-04-09 07:45:00",0,55.84,126.8,131.33,https://waterdata.usgs.gov/me/nwis/uv?site_no=01068910
01069500,"Mousam River near West Kennebunk, Maine",43.4183,-70.6583,01060003,EST,584,cfs,"2019-04-09 08:45:00",2.27,ft,"2019-04-09 08:45:00",5,74.63,130.5,118.48,https://waterdata.usgs.gov/me/nwis/uv?site_no=01069500
01069700,"Branch Brook near Kennebunk, Maine",43.3792,-70.5833,01060003,EST,39.6,cfs,"2019-04-09 08:45:00",2.18,ft,"2019-04-09 08:45:00",0,61.99,127.13,109,https://waterdata.usgs.gov/me/nwis/uv?site_no=01069700
01072800,"COCHECO RIVER NEAR ROCHESTER, NH.",43.2684,-70.9737,01060003,EST,459,cfs,"2019-04-09 08:00:00",5.37,ft,"2019-04-09 08:00:00",0,71.92,193.67,134.1,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01072800
01072870,"ISINGLASS R AT ROCHESTER NECK RD, NR DOVER, NH",43.2348,-70.9565,01060003,EST,339,cfs,"2019-04-09 08:15:00",6.6,ft,"2019-04-09 08:15:00",0,64.75,128.41,100.03,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01072870
01073000,"OYSTER RIVER NEAR DURHAM, NH",43.1487,-70.9651,01060003,EST,44,cfs,"2019-04-09 08:30:00",2.16,ft,"2019-04-09 08:30:00",5,57.8,112.82,92.71,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01073000
01073319,"LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH",43.0414,-71.2017,01060003,EST,189,cfs,"2019-04-09 08:45:00",3.26,ft,"2019-04-09 08:45:00",0,44.32,77.78,71.65,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01073319
01073500,"LAMPREY RIVER NEAR NEWMARKET, NH",43.1026,-70.9526,01060003,EST,447,cfs,"2019-04-09 08:15:00",3.12,ft,"2019-04-09 08:15:00",5,30.21,72.68,58.53,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01073500
01073587,"EXETER RIVER AT HAIGH ROAD, NEAR BRENTWOOD, NH",42.9845,-71.0384,01060003,EST,147,cfs,"2019-04-09 08:15:00",5.28,ft,"2019-04-09 08:15:00",0,24.26,59.76,55.63,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01073587
01073785,"WINNICUT RIVER AT GREENLAND, NR PORTSMOUTH, NH",43.0358,-70.8475,01060003,EST,44.4,cfs,"2019-04-09 08:30:00",5.04,ft,"2019-04-09 08:30:00",0,34.33,94.47,87.33,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01073785
01074520,"EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH",44.0476,-71.6598,01070001,EST,357,cfs,"2019-04-09 08:15:00",2.9,ft,"2019-04-09 08:15:00",0,52.43,110.87,58.83,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01074520
01075000,"PEMIGEWASSET RIVER AT WOODSTOCK, NH",43.9762,-71.6795,01070001,EST,1070,cfs,"2019-04-09 08:30:00",4.14,ft,"2019-04-09 08:30:00",6,77.25,157.82,134.28,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01075000
01076000,"BAKER RIVER NEAR RUMNEY, NH",43.7956,-71.8454,01070001,EST,1060,cfs,"2019-04-09 08:30:00",3.02,ft,"2019-04-09 08:30:00",6,81.09,184.19,146.93,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01076000
01076500,"PEMIGEWASSET RIVER AT PLYMOUTH, NH",43.7592,-71.6856,01070001,EST,3910,cfs,"2019-04-09 08:30:00",3.77,ft,"2019-04-09 08:30:00",6,75.38,141.16,114.14,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01076500
01077400,"COCKERMOUTH RIVER BELOW HARDY BROOK, AT GROTON, NH",43.7039,-71.8333,01070001,EST,Rat,cfs,"2019-04-09 08:00:00",3.31,ft,"2019-04-09 08:00:00",0,65.96,153.93,111.77,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01077400
01078000,"SMITH RIVER NEAR BRISTOL, NH",43.5665,-71.7479,01070001,EST,723,cfs,"2019-04-09 08:30:00",4.83,ft,"2019-04-09 08:30:00",6,82.38,175.91,150.33,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01078000
01081000,"WINNIPESAUKEE RIVER AT TILTON, NH",43.4417,-71.5876,01070002,EST,736,cfs,"2019-04-09 08:30:00",3.67,ft,"2019-04-09 08:30:00",5,32.14,70.1,63.28,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01081000
01081500,"MERRIMACK RIVER AT FRANKLIN JUNCTION, NH",43.4229,-71.6529,01070002,EST,7860,cfs,"2019-04-09 08:30:00",9,ft,"2019-04-09 08:30:00",5,71.72,141.11,118.17,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01081500
01082000,"CONTOOCOOK RIVER AT PETERBOROUGH, NH",42.8626,-71.9592,01070003,EST,264,cfs,"2019-04-09 08:30:00",2.57,ft,"2019-04-09 08:30:00",5,47.27,96.53,81.68,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01082000
01085000,"CONTOOCOOK RIVER NEAR HENNIKER, NH",43.152,-71.8573,01070003,EST,1590,cfs,"2019-04-09 08:30:00",8.3,ft,"2019-04-09 08:30:00",5,38.68,91.38,78.44,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01085000
01085500,"CONTOOCOOK R BL HOPKINTON DAM AT W HOPKINTON, NH",43.1929,-71.7473,01070003,EST,1770,cfs,"2019-04-09 08:00:00",4.12,ft,"2019-04-09 08:00:00",5,39.56,86.55,76.68,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01085500
01086000,"WARNER RIVER AT DAVISVILLE, NH",43.2509,-71.7323,01070003,EST,855,cfs,"2019-04-09 08:30:00",6.06,ft,"2019-04-09 08:30:00",5,62.65,125.37,105.05,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01086000
01089100,"SOUCOOK RIVER, AT PEMBROKE ROAD, NEAR CONCORD, NH",43.2137,-71.4803,01070002,EST,351,cfs,"2019-04-09 08:30:00",6.1,ft,"2019-04-09 08:30:00",5,64.7,151.29,114.4,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01089100
01089500,"SUNCOOK RIVER AT NORTH CHICHESTER, NH",43.2567,-71.3695,01070002,EST,725,cfs,"2019-04-09 08:15:00",4.92,ft,"2019-04-09 08:15:00",5,47.98,96.35,84.98,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01089500
01089925,"SUNCOOK RIVER AT NH 28, NEAR SUNCOOK, NH",43.1598,-71.4059,01070002,EST,1050,cfs,"2019-04-09 08:30:00",287.18,ft,"2019-04-09 08:30:00",0,45.59,85.37,85.37,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01089925
01091000,"SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",43.0148,-71.6415,01070002,EST,396,cfs,"2019-04-09 08:45:00",4.78,ft,"2019-04-09 08:45:00",5,48.03,97.54,80.23,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01091000
01091003,"S BR PISCATAQUOG R AT RIVER RD, NEAR GOFFSTOWN, NH",43.0164,-71.6267,01070002,EST,0,,"0000-00-00 00:00:00",Dis,ft,"2019-03-28 08:00:00",0,0,,,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01091003
01091500,"PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",43.0168,-71.5506,01070002,EST,741,cfs,"2019-04-09 08:30:00",5.4,ft,"2019-04-09 08:30:00",5,42.66,81.88,73.33,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01091500
01092000,"MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH",42.9481,-71.4634,01070002,EST,13300,cfs,"2019-04-09 08:30:00",7.21,ft,"2019-04-09 08:30:00",5,57.53,109.02,93.98,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01092000
