site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,flow,flow_dt,flow_unit,flow_nday,class,percentile,percent_median,percent_mean
01073587,"EXETER RIVER AT HAIGH ROAD, NEAR BRENTWO",42.9845,-71.0384,01060003,118.16,2019-02-28,cfs,7,0,49.86,99.77,65.31
01073785,"WINNICUT RIVER AT GREENLAND, NR PORTSMOU",43.0358,-70.8475,01060003,44.09,2019-02-28,cfs,7,0,71.61,162.51,97.39
01074520,"EAST BRANCH PEMIGEWASSET RIVER AT LINCOL",44.0476,-71.6598,01070001,166.5,2019-02-28,cfs,4,0,68.85,147.38,83.32
01075000,"PEMIGEWASSET RIVER AT WOODSTOCK, NH",43.9762,-71.6795,01070001,,,,,0,,,
01076000,"BAKER RIVER NEAR RUMNEY, NH",43.7956,-71.8454,01070001,,,,,0,,,
01076500,"PEMIGEWASSET RIVER AT PLYMOUTH, NH",43.7592,-71.6856,01070001,,,,,0,,,
01077400,"COCKERMOUTH RIVER BELOW HARDY BROOK, AT ",43.7039,-71.8333,01070001,15.79,2019-02-28,cfs,7,0,51.41,104.92,41.38
01078000,"SMITH RIVER NEAR BRISTOL, NH",43.5665,-71.7479,01070001,100.5,2019-02-28,cfs,7,5,67.75,138.22,80.34
01081000,"WINNIPESAUKEE RIVER AT TILTON, NH",43.4417,-71.5876,01070002,1055.71,2019-02-28,cfs,7,5,68.13,129.65,121.25
01081500,"MERRIMACK RIVER AT FRANKLIN JUNCTION, NH",43.4229,-71.6529,01070002,2365.71,2019-02-28,cfs,7,5,69.1,132.37,108.16
01082000,"CONTOOCOOK RIVER AT PETERBOROUGH, NH",42.8626,-71.9592,01070003,95.85,2019-02-28,cfs,4,5,52.5,102.59,72.05
01085000,"CONTOOCOOK RIVER NEAR HENNIKER, NH",43.152,-71.8573,01070003,562.57,2019-02-28,cfs,7,5,59.28,116.85,82.68
01085500,"CONTOOCOOK R BL HOPKINTON DAM AT W HOPKI",43.1929,-71.7473,01070003,712.43,2019-02-28,cfs,7,5,66.24,137.35,90.66
01086000,"WARNER RIVER AT DAVISVILLE, NH",43.2509,-71.7323,01070003,187.86,2019-02-28,cfs,7,5,59.89,110.97,81.17
01089100,"SOUCOOK RIVER, AT PEMBROKE ROAD, NEAR CO",43.2137,-71.4803,01070002,,,,,0,,,
01089500,"SUNCOOK RIVER AT NORTH CHICHESTER, NH",43.2567,-71.3695,01070002,,,,,0,,,
01089925,"SUNCOOK RIVER AT NH 28, NEAR SUNCOOK, NH",43.1598,-71.4059,01070002,,,,,0,,,
01091000,"SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFF",43.0148,-71.6415,01070002,199,2019-02-28,cfs,5,5,63.04,137.24,92.83
01091500,"PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",43.0168,-71.5506,01070002,315.71,2019-02-28,cfs,7,5,61.94,124.15,92.76
01092000,"MERRIMACK R NR GOFFS FALLS, BELOW MANCHE",42.9481,-71.4634,01070002,4750,2019-02-28,cfs,5,5,59.25,119.22,87.53
01093852,"SOUHEGAN RIVER (SITE WLR-1) NEAR MILFORD",42.8426,-71.7067,01070002,212.5,2019-02-28,cfs,4,0,59.5,110.23,65.5
01094000,"SOUHEGAN RIVER AT MERRIMACK, NH",42.8576,-71.5062,01070002,299.71,2019-02-28,cfs,7,5,61.62,122.69,86.22
01094400,"NORTH NASHUA RIVER AT FITCHBURG, MA",42.5762,-71.7881,01070004,118.76,2019-02-28,cfs,7,5,45.83,94.47,67.4
01094500,"NORTH NASHUA RIVER NEAR LEOMINSTER, MA",42.4951,-71.7219,01070004,246.86,2019-02-28,cfs,7,5,63.61,123.74,90.96
01095220,"STILLWATER RIVER NEAR STERLING, MA",42.4109,-71.7912,01070004,61.71,2019-02-28,cfs,7,0,47,87.74,67.85
01095375,"QUINAPOXET RIVER AT CANADA MILLS NEAR HO",42.3729,-71.8281,01070004,76.09,2019-02-28,cfs,7,0,66.97,132.17,96.79
01095434,"GATES BROOK NEAR WEST BOYLSTON, MA",42.3645,-71.7754,01070004,4.7,2019-02-28,cfs,7,0,47.48,86.56,72.76
01095503,"NASHUA RIVER, WATER STREET BRIDGE, AT CL",42.4194,-71.6661,01070004,31.79,2019-02-28,cfs,7,0,75.19,395.4,144.04
01096000,"SQUANNACOOK RIVER NEAR WEST GROTON, MA",42.6343,-71.6578,01070004,135.86,2019-02-28,cfs,7,5,60.03,116.48,84.01
01096500,"NASHUA RIVER AT EAST PEPPERELL, MA",42.6676,-71.5751,01070004,761.29,2019-02-28,cfs,7,5,64.56,121.11,97.92
01097000,"ASSABET RIVER AT MAYNARD, MA",42.432,-71.4498,01070005,347.71,2019-02-28,cfs,7,6,75.3,139.56,122.47
01097300,"NASHOBA BROOK NEAR ACTON, MA",42.5126,-71.4042,01070005,37.33,2019-02-28,cfs,6,5,72.01,141.24,111.57
01098500,"COCHITUATE BK BL LAKE COCHITUATE AT FRAM",42.3151,-71.3838,01070005,48.7,2019-02-28,cfs,7,0,57.07,117.43,123.07
01098530,"SUDBURY RIVER AT SAXONVILLE, MA",42.3254,-71.3976,01070005,316,2019-02-28,cfs,7,5,67.69,113.85,106.59
01099500,"CONCORD R BELOW R MEADOW BROOK, AT LOWEL",42.6368,-71.302,01070002,1108.57,2019-02-28,cfs,7,5,72.98,128.9,120.06
01100000,"MERRIMACK RIVER BL CONCORD RIVER AT LOWE",42.6459,-71.2984,01070002,8168.57,2019-02-28,cfs,7,5,63.13,117.35,96.49
01100505,"SPICKET RIVER AT NORTH SALEM, NH",42.8493,-71.2151,01070002,28.46,2019-02-28,cfs,7,0,52.83,107.15,80.67
01100561,"SPICKET RIVER NEAR METHUEN, MA",42.7431,-71.2084,01070002,137.43,2019-02-28,cfs,7,0,54.81,111.75,83.53
01100568,"SHAWSHEEN RIVER AT HANSCOM FIELD NEAR BE",42.467,-71.2723,01070002,2.95,2019-02-28,cfs,7,0,24.19,69.25,49
01100600,"SHAWSHEEN RIVER NEAR WILMINGTON, MA",42.5681,-71.2148,01070002,99.36,2019-02-28,cfs,7,5,63.72,139.37,108.11
01100627,"SHAWSHEEN RIVER AT BALMORAL STREET AT AN",42.6715,-71.1492,01070002,169.43,2019-02-28,cfs,7,0,41.63,85.23,79.91
01101000,"PARKER RIVER AT BYFIELD, MA",42.7529,-70.9456,01090001,64.03,2019-02-28,cfs,7,5,70.21,137.05,108.53
01101500,"IPSWICH RIVER AT SOUTH MIDDLETON, MA",42.5704,-71.0289,01090001,111.66,2019-02-28,cfs,7,5,64.22,130.05,105.57
01102000,"IPSWICH RIVER NEAR IPSWICH, MA",42.6598,-70.8937,01090001,319.43,2019-02-28,cfs,7,5,70.39,133.33,112.54
01102345,"SAUGUS RIVER AT SAUGUS IRONWORKS AT SAUG",42.4695,-71.007,01090001,54.46,2019-02-28,cfs,5,0,65.45,126.24,106.24
01102500,"ABERJONA RIVER AT WINCHESTER, MA",42.4475,-71.1381,01090001,67.26,2019-02-28,cfs,7,6,75.3,175.66,137.52
01103010,"MYSTIC RIVER AT ARLINGTON, MA",42.4207,-71.1427,01090001,-36.81,2019-02-28,cfs,7,0,0,0,0
01103025,"ALEWIFE BROOK NEAR ARLINGTON, MA",42.407,-71.1339,01090001,14.87,2019-02-28,cfs,7,0,69.31,136.8,112.06
01103280,"CHARLES RIVER AT MEDWAY, MA",42.1398,-71.3895,01090001,173.29,2019-02-28,cfs,7,0,52.47,104.17,91.62
01103455,"TROUT BROOK AT DOVER, MA",42.254,-71.2934,01090001,10.54,2019-02-28,cfs,7,0,63.03,107.66,116.98
01103500,"CHARLES RIVER AT DOVER, MA",42.2562,-71.2601,01090001,521.86,2019-02-28,cfs,7,5,64.73,128.22,114.77
01104000,"MOTHER BROOK AT DEDHAM, MA",42.2551,-71.1642,01090001,10.63,2019-02-28,cfs,7,2,3.24,10.32,8.7
01104200,"CHARLES RIVER AT WELLESLEY, MA",42.3165,-71.2278,01090001,596,2019-02-28,cfs,7,6,80.12,155.35,141.64
01104370,"STONY BROOK AT VILES STREET, NEAR WESTON",42.3856,-71.2894,01090001,28,2019-02-28,cfs,7,0,61.02,123.51,86.85
01104415,"CAMBRIDGE RES., UNNAMED TRIB 2, NR LEXIN",42.4359,-71.2601,01090001,0.99,2019-02-28,cfs,7,0,52,108.79,78.57
01104420,"CAMBRIDGE RES., UNNAMED TRIB 3, NR LEXIN",42.4198,-71.2576,01090001,2.49,2019-02-28,cfs,7,0,49.77,99.6,87.99
01104430,"HOBBS BK BELOW CAMBRIDGE RES NR KENDALL ",42.3982,-71.2734,01090001,21,2019-02-28,cfs,7,0,93.36,995.26,395.48
01104455,"STONY BROOK, UNNAMED TRIBUTARY 1, NEAR W",42.3726,-71.2703,01090001,1.3,2019-02-28,cfs,7,0,54.64,111.11,93.53
01104460,"STONY BROOK AT RT 20 AT WALTHAM, MA",42.369,-71.2706,01090001,62.53,2019-02-28,cfs,7,0,77.17,130.19,120.6
01104475,"STONY BROOK RES., UNNAMED TRIB 1, NEAR W",42.3545,-71.2681,01090001,1.91,2019-02-28,cfs,7,0,49.71,98.96,92.72
01104480,"STONY BROOK RESERVOIR AT DAM NEAR WALTHA",42.3557,-71.2651,01090001,50.96,2019-02-28,cfs,7,0,80.29,163.33,149.66
01104500,"CHARLES RIVER AT WALTHAM, MA",42.3723,-71.2337,01090001,690.43,2019-02-28,cfs,7,6,86.61,165.94,155.4
01105000,"NEPONSET RIVER AT NORWOOD, MA",42.1776,-71.2009,01090001,114.5,2019-02-28,cfs,7,6,75.2,135.73,130.4
01105500,"EAST BRANCH NEPONSET RIVER AT CANTON, MA",42.1545,-71.1459,01090001,87.61,2019-02-28,cfs,7,5,61.56,118.97,113.18
01105554,"NEPONSET RIVER AT GREENLODGE ST NEAR CAN",42.2093,-71.1459,01090001,236.14,2019-02-28,cfs,7,0,38.9,87.74,90.88
01105583,"MONATIQUOT RIVER AT EAST BRAINTREE, MA",42.2209,-70.9781,01090001,75.81,2019-02-28,cfs,7,0,38.57,84.47,85.07
01105585,"TOWN BROOK AT QUINCY, MA",42.2479,-70.9973,01090001,8.06,2019-02-28,cfs,5,5,50.98,101.26,78.71
01105600,"OLD SWAMP RIVER NEAR SOUTH WEYMOUTH, MA",42.1904,-70.9448,01090002,12.18,2019-02-28,cfs,7,5,49.64,98.94,81.47
01105606,"WHITMANS POND, WHITMANS POND DAM AT E. W",42.2108,-70.9294,01090001,16.27,2019-02-28,cfs,7,0,34.9,65.45,57.7
01105608,"WHITMANS POND FISH LADDER AT EAST WEYMOU",42.2131,-70.9264,01090001,26.07,2019-02-28,cfs,7,0,92.26,380.58,290.31
01105638,"WEIR RIVER AT LEAVITT STREET AT HINGHAM,",42.2348,-70.872,01090001,38.77,2019-02-28,cfs,7,0,45.45,81.3,108.45
01105730,"INDIAN HEAD RIVER AT HANOVER, MA",42.1007,-70.8225,01090002,102.83,2019-02-28,cfs,7,5,57.28,117.33,95.78
01105870,"JONES RIVER AT KINGSTON, MA",41.9909,-70.7337,01090002,60.7,2019-02-28,cfs,7,5,74.33,129.12,118.46
01105876,"EEL RIVER AT RT 3A NEAR PLYMOUTH, MA",41.9418,-70.6225,01090002,39.67,2019-02-28,cfs,7,0,79.33,125.66,120.43
01105880,"HERRING RIVER AT NORTH HARWICH, MA",41.7001,-70.107,01090002,15.23,2019-02-28,cfs,7,5,59.22,128.2,126.92
01105917,"MATTAPOISETT RIVER NEAR MATTAPOISETT, MA",41.6626,-70.8384,01090002,94.19,2019-02-28,cfs,7,0,70.18,139.11,119.23
01105933,"PASKAMANSET RIVER NEAR SOUTH DARTMOUTH, ",41.5854,-70.9903,01090002,110.26,2019-02-28,cfs,7,0,66.13,154.56,120.59
01108000,"TAUNTON RIVER NEAR BRIDGEWATER, MA",41.934,-70.9564,01090004,1021.29,2019-02-28,cfs,7,6,80.07,141.43,130.31
01108410,"MILL RIVER AT SPRING STREET AT TAUNTON, ",41.8998,-71.0895,01090004,153.29,2019-02-28,cfs,7,0,46.56,94.96,108.32
01109000,"WADING RIVER NEAR NORTON, MA",41.9476,-71.1767,01090004,133,2019-02-28,cfs,7,5,62.9,118.6,111.65
01109060,"THREEMILE RIVER AT NORTH DIGHTON, MA",41.8662,-71.1228,01090004,278.14,2019-02-28,cfs,7,5,57.5,116.72,108.33
01109070,"SEGREGANSET RIVER NEAR DIGHTON, MA",41.8404,-71.1428,01090004,40.46,2019-02-28,cfs,7,5,60.44,128.85,101.81
01109403,"TEN MILE R., PAWTUCKET AVE. AT E. PROVID",41.8309,-71.3503,01090004,183.29,2019-02-28,cfs,7,5,66.98,131.13,114.86
01109730,"BLACKSTONE RIVER, W. MAIN ST., AT MILLBU",42.189,-71.7651,01090003,164.45,2019-02-28,cfs,4,0,37.5,75.24,76.76
01110000,"QUINSIGAMOND RIVER AT NORTH GRAFTON, MA",42.2304,-71.7109,01090003,58.89,2019-02-28,cfs,7,5,65.44,113.71,107.01
01111212,"BLACKSTONE RIVER, RT 122 BRIDGE NEAR UXB",42.0548,-71.6165,01090003,658.86,2019-02-28,cfs,7,0,44.75,90.97,86.21
01111300,"NIPMUC RIVER NEAR HARRISVILLE, RI",41.9812,-71.6859,01090003,44.02,2019-02-28,cfs,6,5,48.07,91.98,85.05
01111500,"BRANCH RIVER AT FORESTDALE, RI",41.9965,-71.562,01090003,261.71,2019-02-28,cfs,7,5,55.73,114.9,99.43
01112500,"BLACKSTONE RIVER AT WOONSOCKET, RI",42.0065,-71.5026,01090003,1214.29,2019-02-28,cfs,7,5,60.13,127.35,110.01
01113895,"BLACKSTONE R AT ROOSEVELT ST AT PAWTUCKE",41.8884,-71.3814,01090004,1362.86,2019-02-28,cfs,7,0,50.86,101.81,99.1
01114000,"MOSHASSUCK RIVER AT PROVIDENCE, RI",41.834,-71.4106,01090004,68.74,2019-02-28,cfs,7,5,71.19,152.25,120.41
01114500,"WOONASQUATUCKET RIVER AT CENTERDALE, RI",41.859,-71.4873,01090004,114.29,2019-02-28,cfs,7,5,61.51,120.85,102.43
01115098,"PEEPTOAD BROOK AT ELMDALE RD NR NORTH SC",41.8526,-71.6062,01090004,16.63,2019-02-28,cfs,7,0,57.21,114.14,86.39
01115110,"HUNTINGHOUSE BK AT ELMDALE RD AT N SCITU",41.8468,-71.6117,01090004,17.69,2019-02-28,cfs,7,0,27.99,55.45,53.54
01115114,"RUSH BROOK NEAR ELMDALE RD NEAR NORTH SC",41.8376,-71.612,01090004,14.75,2019-02-28,cfs,7,0,27.7,78.42,59.26
01115170,"MOSWANSICUT STREAM NR NORTH SCITUATE, RI",41.8409,-71.5845,01090004,9.58,2019-02-28,cfs,7,0,45.99,87.81,82.23
01115183,"QUONAPAUG BK AT RT 116 NR NORTH SCITUATE",41.7976,-71.5848,01090004,7.23,2019-02-28,cfs,7,0,51.8,103.88,81.51
01115187,"PONAGANSET RIVER AT SOUTH FOSTER, RI",41.8187,-71.7051,01090004,37.77,2019-02-28,cfs,7,0,41.93,84.67,71.71
01115190,"DOLLY COLE BK AT OLD DANIELSON PK AT S F",41.8223,-71.7003,01090004,16.51,2019-02-28,cfs,7,0,43.43,92.23,67.72
01115265,"HEMLOCK BROOK AT KING ROAD NR FOSTER, RI",41.7907,-71.6987,01090004,21.7,2019-02-28,cfs,7,0,24.9,57.42,46.48
01115276,"WESTCONNAUG STREAM AT PLAINFIELD PIKE, R",41.7854,-71.6673,01090004,13.11,2019-02-28,cfs,7,0,70.5,110.08,108.53
01115280,"CORK BK AT ROCKLAND SCITUATE RD NR CLAYV",41.804,-71.6498,01090004,5.35,2019-02-28,cfs,7,0,44.04,85.19,62.94
01115630,"NOOSENECK RIVER AT NOOSENECK, RI",41.6268,-71.6326,01090004,30.39,2019-02-28,cfs,7,0,58.08,113.65,100
01116000,"SOUTH BRANCH PAWTUXET RIVER AT WASHINGTO",41.6901,-71.5659,01090004,188.14,2019-02-28,cfs,7,5,54.38,106.98,106.14
01116500,"PAWTUXET RIVER AT CRANSTON, RI",41.7509,-71.4451,01090004,612,2019-02-28,cfs,7,6,75.07,139.63,128.95
01116905,"HUNT R 250 FT DS FRY BRK AT FRENCHTOWN, ",41.63,-71.4789,01090004,76.66,2019-02-28,cfs,7,0,57.84,127.41,104.94
01117000,"HUNT RIVER NEAR EAST GREENWICH, RI",41.6412,-71.4445,01090004,99.79,2019-02-28,cfs,7,6,78.46,138.58,133.55
01117350,"CHIPUXET RIVER AT WEST KINGSTON, RI",41.4823,-71.5512,01090005,40.41,2019-02-28,cfs,7,5,73.22,134.88,126.44
01117370,"QUEEN R AT LIBERTY RD AT LIBERTY RI",41.539,-71.5687,01090005,75.24,2019-02-28,cfs,7,0,77.93,139.33,128.42
01117420,"USQUEPAUG RIVER NEAR USQUEPAUG, RI",41.4768,-71.6048,01090005,131.86,2019-02-28,cfs,7,5,65.88,124.09,114.72
01117430,"PAWCATUCK RIVER AT KENYON, RI",41.4462,-71.6212,01090005,290.14,2019-02-28,cfs,7,0,81.36,132.01,127.11
01117468,"BEAVER RIVER NEAR USQUEPAUG, RI",41.4926,-71.6281,01090005,31.64,2019-02-28,cfs,7,5,58.93,105.64,104.87
01117500,"PAWCATUCK RIVER AT WOOD RIVER JUNCTION, ",41.4451,-71.6809,01090005,403.86,2019-02-28,cfs,7,6,84.74,146.36,139.64
01117800,"WOOD RIVER NEAR ARCADIA, RI",41.574,-71.7206,01090005,117.86,2019-02-28,cfs,7,5,57.79,111.26,104.2
01118000,"WOOD RIVER AT HOPE VALLEY, RI",41.4982,-71.7165,01090005,255.29,2019-02-28,cfs,7,5,66.71,119.46,110.78
01118300,"PENDLETON HILL BROOK NEAR CLARKS FALLS, ",41.4748,-71.8342,01090005,15.57,2019-02-28,cfs,7,5,60.31,122.7,108.96
01118500,"PAWCATUCK RIVER AT WESTERLY, RI",41.3837,-71.8331,01090005,1061.57,2019-02-28,cfs,7,5,72.81,128.76,122.2
01119382,"WILLIMANTIC RIVER AT MERROW RD. NEAR MER",41.824,-72.3129,01100002,251.14,2019-02-28,cfs,7,0,37.13,79.05,80.67
01119500,"WILLIMANTIC RIVER NEAR COVENTRY, CT",41.7507,-72.2656,01100002,340.29,2019-02-28,cfs,7,5,64.42,133.97,116.93
01120790,"NATCHAUG RIVER AT MARCY RD. NEAR CHAPLIN",41.8162,-72.1062,01100002,171.86,2019-02-28,cfs,7,0,41.21,87.81,76.04
01121000,"MOUNT HOPE RIVER NEAR WARRENVILLE, CT",41.8437,-72.169,01100002,89.04,2019-02-28,cfs,7,5,63.97,132.9,110.77
01121330,"FENTON RIVER AT MANSFIELD, CT",41.8332,-72.2428,01100002,48.1,2019-02-28,cfs,7,0,43.2,98.3,84.68
01122000,"NATCHAUG RIVER AT WILLIMANTIC, CT",41.7201,-72.1956,01100002,427.71,2019-02-28,cfs,7,5,58.31,122.5,101.86
01122500,"SHETUCKET RIVER NEAR WILLIMANTIC, CT",41.7004,-72.182,01100002,1193.43,2019-02-28,cfs,7,5,64.9,136.73,119.25
01123000,"LITTLE RIVER NEAR HANOVER, CT",41.6718,-72.0523,01100002,106.53,2019-02-28,cfs,7,5,72.54,144.27,128.26
